EE,,EE xmin,,EE xmax,,EE ymin,,EE ymax,
X,Y,X,Y,X,Y,X,Y,X,Y
0.0052483187292470725,21438.822248483226,0.004261895714421629,21443.45286066253,0.006226030284288786,21281.97499900192,0.005220983392756269,18443.80742374786,0.005219855946097215,24390.458864843138
0.007958847039843423,21738.892100469777,0.007001783719649235,21741.78147267033,0.009291452197330524,21735.40128803312,0.008001890467189339,20235.532859084975,0.007958406318468081,23353.81114357872
0.012528366388383266,23010.670294395382,0.010228111576265856,23015.51296068881,0.015428334414605848,22516.42143677028,0.012595913657384265,21884.801656610976,0.012461388369562515,23679.897460736756
0.030885256003432858,19919.668900303455,0.01900114256444647,19787.409077774148,0.04011944698775138,19772.074401503196,0.030886282212038207,19081.385307861117,0.030884571883304943,20498.885903574508
0.03664456509738046,16179.165639364863,0.033287108139864116,16297.141880644118,0.04210032246026846,16293.17145382301,0.036256410702889284,15609.922710993233,0.036839891829777045,16649.525427894627
0.04301563508895906,13330.88581245054,0.039918003978440426,13331.919358569172,0.046601495170306366,13425.639129542558,0.04301658792268748,12954.207988711332,0.043014682276336313,13718.516539139908
0.0507607267757324,12143.055788375885,0.04786608389808042,12057.087406785773,0.06385851168538802,12140.164637731654,0.050761851169977626,11799.9413177953,0.05075960240639294,12496.147218735412
0.07338465751070676,8792.66326274541,0.06883069162431912,8856.483879010535,0.07907929590652168,8791.981618734279,0.07338628304469404,8544.217562341222,0.07338262564385627,9113.403924730686
0.08387405923911287,7297.0511209486895,0.07825032127422221,7350.056696651745,0.10551548947830496,7347.777733202013,0.08387545264777363,7141.8591637969,0.08432066667085406,7563.192639012095
0.10898845668929888,4644.845755282945,0.103322893175644,4645.1029779890505,0.11435323571215895,4611.451189904845,0.10899087087840297,4513.6008841379125,0.1089866460825639,4745.777835697608
0.1342333458361245,3854.469156040655,0.11746220505823786,3882.725918260712,0.14620247557298896,3854.1276555758755,0.13423706257810863,3718.813477995325,0.13422962919704945,3995.0733110921124
0.1454482435885835,3108.618515702685,0.13936821271313554,3086.5593593396848,0.1559005361868082,3108.3947357741295,0.1462300052115757,3020.764589647918,0.14544502185485433,3199.0098123647895
0.17442585128930047,2471.158024009671,0.16802909764607826,2453.6087819133572,0.1839912629991302,2453.377809677727,0.1744422725386754,2187.7410284249518,0.17441715831251797,2635.7780651442754
0.20804570398040587,2187.3412713567946,0.1940995079923229,2156.37228161607,0.22062945698982173,2171.5911196877914,0.20808603088294914,1702.1400807263954,0.2080169038349957,2616.480122071477
