boss,,boss xmin,,boss xmax,,boss ylow,,boss yhigh,
X,Y,X,Y,X,Y,X,Y,X,Y
0.1531563949210876,2496.653101254672,0.14754310503547788,2512.811310358913,0.15898324289422952,2512.987516365066,0.15387290824525443,2015.5907662135407,0.15387290824525443,3013.3546460906236
0.2143290707761646,1703.327109831392,0.18719631585862015,1703.1106416447612,0.24311447128759203,1703.5286739101653,0.21533176893347328,1223.5958352348857,0.2143290707761646,2179.416889410905
0.27576588623934983,962.7499694495274,0.24885475642751118,962.6571495960911,0.3041642081685626,950.4290021400795,0.2770560049571675,551.1399540703401,0.2770560049571675,1366.5580753993643
0.337056496857944,696.2260767373821,0.30989617526593816,696.1711566422107,0.36659723849982007,696.2810011651329,0.337056496857944,544.136716954085,0.337056496857944,834.8789763575727
0.39872702804579163,1281.172290635414,0.3717665149701797,1272.8056252302965,0.4276427179219792,1272.9729797751431,0.39872702804579163,1020.9770685645127,0.4005923972877842,1526.390936035701
0.46080110676124375,411.82128870779763,0.4316533692595909,411.7960219727595,0.48962644342656225,411.84475206419825,0.46080110676124375,259.8416667234832,0.46080110676124375,562.2378264791834
0.5226888589275558,122.46151258802914,0.4942184097291828,122.45507245162709,0.5527994058268672,122.46795306312988,0.5226888589275569,30.96110988442856,0.5226888589275558,213.9208622666825
0.6125790812635628,150.73190120544874,0.5738307058849291,149.74820635793802,0.6570033251510922,150.74181035382028,0.615444917026132,106.19263671342799,0.615444917026132,194.11819091312918
0.7348796415107617,160.86013181755968,0.6819990721159936,160.8488526045943,0.7918604431988651,161.9182400395329,0.7383176373911995,124.10071030032027,0.7383176373911995,196.68637093456627
0.8572512126038453,83.02087109193457,0.8030262271354466,83.0157774593078,0.9151377833974665,83.0259650370933,0.8572512126038453,53.411895434315724,0.8612617008130077,111.88365720877549
0.9815035887666073,64.89335508111407,0.9280418637179096,65.31219655969151,1.0429013826722389,65.31935278013985,0.9815035887666073,40.68022318970695,0.986095368296485,90.33667541432293
1.134304695145581,51.05448255969286,1.067525796338971,50.721517042281995,1.2108995229763129,50.72751919876603,1.1343046951455789,33.928846132758764,1.1343046951455789,67.91685092294468
1.3170267458483622,19.936277985807948,1.2394906163031028,19.935142188900667,1.4059600256614935,19.937501224077977,1.323188207223649,6.705119886773014,1.323188207223649,33.27983736549999
1.500898596015043,37.16378240805411,1.419145835266646,37.403648778869176,1.594787058294824,37.16589979998048,1.507920267182102,24.221794710877134,1.507920267182102,50.73796909145572
1.7184430149581955,16.415175384457296,1.6248407815797197,16.30819088140297,1.8174373939504296,16.416038688577093,1.7264824266828833,6.450800749136398,1.7184430149581988,26.35598975354518
1.967518927327338,8.14845686978113,1.8603497257831396,8.148028350056046,2.08086182707486,8.14888541204286,1.967518927327338,1.029162188576152,1.967518927327338,20.073572316458318
