tt,,tt xmin,,tt xmax,,tt ylow,,tt yhigh,
X,Y,X,Y,X,Y,X,Y,X,Y
0.0002765458684192500,245.82055702098500,0.00018042454524361000,245.9294827234150,0.00041713933206492600,247.4828172197800,0.0002791863037827320,1.1229617267975100,0.0002760210913035320,2871.087577147060
0.0004759331603522740,1962.7421143480400,0.0003454954232414890,1963.3943621498200,0.0006915659080670420,1961.9814324329700,0.0004763339332319730,660.4406806784390,0.00047574870731322600,3241.199322601900
0.0009124968174995240,3147.488775013330,0.0007292122941586510,3193.664348524110,0.001290995094533290,3168.982948433140,0.0009176452301299670,2168.382677078290,0.0009123048201458920,4132.582632026770
0.0020972295285195300,6721.478243207130,0.0014356135662094500,6772.477736156540,0.0038133031408772900,6814.272730808920,0.0020974153565259500,5993.385684277870,0.00209705532971628,7484.199102664870
0.007917043448520130,19805.387682510100,0.005536440040546320,19812.737299394900,0.014318660969111100,19935.559627004600,0.007959640399823850,19108.24339426670,0.007916780401706660,20675.478153843300
0.01232946046441670,22683.622610161400,0.009094800653201920,22853.963658629500,0.021139733390258500,22833.976336050000,0.012329665295053800,22201.192690209500,0.012329187362193800,23343.208870221600
0.017536336303390000,24013.19626916450,0.01328556258940040,24192.851788593300,0.028352539239645400,24173.83528592710,0.017536530524864800,23671.50655550930,0.017535947866893500,24711.443396242700
0.026034146454569400,21098.683632454200,0.021712905023771700,21102.656473083400,0.03948008780932760,21089.57229454400,0.026034578962611500,20649.961819769200,0.02603356978835700,21712.18360415140
0.035870182729689100,16295.878458080400,0.030725584286905100,16298.49565637510,0.06557069030287100,16402.80230281910,0.03587077864484720,15949.30156975950,0.03586938819154460,16769.724179783900
0.06524687402513450,9932.94331853219,0.04661233507909910,9936.409252200710,0.09582616528109760,9928.983731813930,0.06524795797838740,9721.691829632050,0.06489841647486580,10148.841483920400
0.07338343838384540,8983.727044461970,0.05709965945686600,8986.065541938080,0.10382302905906500,8980.493954964240,0.07338465751070680,8792.6632627454,0.07338221927723720,9178.94262496725
0.08614579118848650,6989.774254970360,0.06847712339740410,6941.5191795932200,0.11616266248609300,6937.714687698880,0.08614769939268320,6792.271028865800,0.08614531414404160,7040.040952617170
0.09689873464554910,5517.128034297610,0.08802163086317820,5478.281144930830,0.12996601415077700,5515.447932492780,0.09690088103679530,5361.235934516150,0.09741631342846020,5596.73480734749
0.12522678701506300,4141.10456019595,0.10388514074349900,4141.907258434030,0.15838228096732000,4140.095674543780,0.12522886742098600,4053.0325279715900,0.1252247066437020,4231.090389757640
0.142367498306261,3339.6227143705600,0.12659197514383300,3340.029600161000,0.1743852877707420,3338.920028387450,0.14236986347264200,3268.596408455850,0.1423651331791720,3412.192415523310
0.16359894475858300,2543.1824662574600,0.15100960844383800,2543.3937240797000,0.19615903393937500,2524.548485043040,0.16360166264524000,2489.0946631448300,0.16359622691707800,2598.4455924660100
0.1820574733657170,2125.829987349270,0.16102297419149500,2110.9201606121000,0.2148231813378110,2110.2890192886200,0.18205948972023700,2095.581026256580,0.18205344072367100,2187.644110912210
0.22068810974740500,1539.5732048568700,0.19833923831336500,1550.8167357150600,0.2521963494345210,1539.360078936360,0.2206942203062820,1485.3888701144400,0.22305075563401500,1595.7164142629000
