tt,,tt yhigh,,tt ylow,,tt xmin,,tt xmax,
X,Y,X,Y,X,Y,X,Y,X,Y
0.0002765458684192502,245.82055702098492,0.0002760210913035323,2871.087577147063,0.0002791863037827321,1.1229617267975085,0.00018042454524360964,245.9294827234154,0.00041713933206492646,247.4828172197798
0.0004759331603522742,1962.7421143480362,0.00047574870731322623,3241.199322601903,0.0004763339332319726,660.4406806784393,0.0003454954232414894,1963.3943621498208,0.0006915659080670418,1961.9814324329748
0.0009124968174995239,3147.488775013331,0.0009123048201458923,4132.582632026772,0.0009176452301299668,2168.382677078292,0.0007292122941586508,3193.664348524107,0.001290995094533291,3168.982948433137
0.0020972295285195306,6721.478243207125,0.00209705532971628,7484.199102664869,0.0020974153565259546,5993.385684277873,0.0014356135662094535,6772.477736156542,0.0038133031408772882,6814.272730808919
0.007917043448520131,19805.387682510114,0.007916780401706661,20675.478153843298,0.007959640399823845,19108.24339426669,0.005536440040546322,19812.737299394914,0.014318660969111134,19935.559627004626
0.01232946046441666,22683.622610161387,0.012329187362193763,23343.208870221617,0.012329665295053775,22201.192690209533,0.009094800653201916,22853.963658629484,0.021139733390258462,22833.976336049986
0.017536336303389976,24013.19626916448,0.017535947866893543,24711.443396242696,0.017536530524864778,23671.50655550925,0.01328556258940043,24192.851788593296,0.028352539239645442,24173.83528592714
0.026034146454569432,21098.683632454216,0.02603356978835695,21712.18360415144,0.026034578962611514,20649.961819769247,0.021712905023771698,21102.656473083447,0.03948008780932763,21089.57229454395
0.035870182729689074,16295.878458080384,0.03586938819154464,16769.724179783865,0.03587077864484721,15949.30156975945,0.030725584286905097,16298.49565637514,0.06557069030287095,16402.80230281912
0.06524687402513449,9932.94331853219,0.06489841647486576,10148.841483920365,0.06524795797838735,9721.691829632047,0.04661233507909907,9936.409252200714,0.09582616528109764,9928.983731813927
0.07338343838384535,8983.727044461968,0.07338221927723718,9178.94262496725,0.07338465751070676,8792.6632627454,0.05709965945686595,8986.065541938078,0.10382302905906514,8980.493954964242
0.08614579118848646,6989.774254970362,0.08614531414404158,7040.040952617172,0.08614769939268319,6792.271028865802,0.06847712339740411,6941.5191795932205,0.11616266248609335,6937.714687698879
0.09689873464554907,5517.128034297606,0.09741631342846019,5596.73480734749,0.09690088103679534,5361.235934516151,0.08802163086317824,5478.281144930826,0.12996601415077727,5515.447932492776
0.12522678701506323,4141.10456019595,0.1252247066437023,4231.090389757638,0.12522886742098574,4053.0325279715885,0.10388514074349925,4141.907258434025,0.15838228096732027,4140.095674543777
0.142367498306261,3339.6227143705587,0.1423651331791724,3412.192415523308,0.14236986347264183,3268.596408455851,0.12659197514383344,3340.029600161001,0.1743852877707415,3338.920028387448
0.16359894475858347,2543.1824662574563,0.16359622691707826,2598.4455924660083,0.16360166264524048,2489.0946631448323,0.15100960844383843,2543.3937240796954,0.19615903393937492,2524.548485043042
0.1820574733657171,2125.829987349271,0.18205344072367144,2187.644110912212,0.18205948972023744,2095.581026256579,0.16102297419149525,2110.9201606121032,0.2148231813378107,2110.2890192886234
0.22068810974740516,1539.5732048568718,0.22305075563401514,1595.7164142629042,0.2206942203062817,1485.3888701144413,0.19833923831336456,1550.8167357150594,0.2521963494345214,1539.360078936361
